S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,3,4,7
2,AGARTALA,AIZAWL,6,4,10
3,AGARTALA,BENGALURU,42,33,75
5,AGARTALA,CHENNAI,9,9,18
6,AGARTALA,DELHI,47,44,91
7,AGARTALA,DIBRUGARH,15,13,28
8,AGARTALA,GUWAHATI,65,67,132
9,AGARTALA,IMPHAL,13,18,31
10,AGARTALA,KOLKATA,393,372,765
11,AGARTALA,SHILLONG,8,6,14
12,AGATTI ISLAND,BENGALURU,1,1,2
13,AGATTI ISLAND,KOCHI,15,19,34
14,AGATTI ISLAND,MYSORE,1,1,2
15,AGRA,BENGALURU,27,22,49
16,AGRA,BHOPAL,3,4,7
17,AGRA,LUCKNOW,4,5,9
18,AGRA,MUMBAI,15,14,29
19,AHMEDABAD,AMRITSAR,21,21,42
20,AHMEDABAD,BAGDOGRA,61,55,116
21,AHMEDABAD,BELGAUM,8,7,15
22,AHMEDABAD,BENGALURU,348,307,655
23,AHMEDABAD,BHOPAL,19,19,38
24,AHMEDABAD,CHANDIGARH,53,49,102
25,AHMEDABAD,CHENNAI,136,120,256
27,AHMEDABAD,DABOLIM,187,184,371
28,AHMEDABAD,DEHRA DUN,31,31,62
29,AHMEDABAD,DELHI,849,795,1644
30,AHMEDABAD,DURGAPUR,2,3,5
31,AHMEDABAD,GUWAHATI,11,9,20
32,AHMEDABAD,GWALIOR,12,12,24
33,AHMEDABAD,HYDERABAD,153,139,292
34,AHMEDABAD,INDORE,21,19,40
35,AHMEDABAD,JAIPUR,76,67,143
36,AHMEDABAD,KOLKATA,188,164,352
37,AHMEDABAD,LUCKNOW,95,87,182
38,AHMEDABAD,MUMBAI,531,470,1001
39,AHMEDABAD,NAGPUR,21,21,42
40,AHMEDABAD,NASIK,8,7,15
41,AHMEDABAD,PATNA,74,74,148
42,AHMEDABAD,PUNE,178,149,327
43,AHMEDABAD,SHIRDI,5,4,9
44,AHMEDABAD,SRINAGAR,2,2,4
45,AHMEDABAD,VARANASI,59,51,110
46,AHMEDABAD,VISAKHAPATNAM,4,4,8
47,AIZAWL,DELHI,15,17,32
48,AIZAWL,GUWAHATI,35,32,67
49,AIZAWL,IMPHAL,6,6,12
50,AIZAWL,KOLKATA,49,52,101
51,AIZAWL,MUMBAI,1,1,2
52,AIZAWL,SHILLONG,4,5,9
53,AJMER,DELHI,20,19,39
54,AJMER,HYDERABAD,22,22,44
55,AJMER,INDORE,5,5,10
56,AJMER,MUMBAI,9,8,17
57,AJMER,SURAT,5,6,11
58,ALLAHABAD,BENGALURU,42,36,78
59,ALLAHABAD,BHOPAL,10,11,21
60,ALLAHABAD,BHUBANESWAR,16,18,34
61,ALLAHABAD,BILASPUR,5,3,8
63,ALLAHABAD,DEHRA DUN,18,18,36
64,ALLAHABAD,DELHI,39,41,80
65,ALLAHABAD,GORAKHPUR,16,11,27
66,ALLAHABAD,INDORE,17,14,31
67,ALLAHABAD,JABALPUR,1,1,2
68,ALLAHABAD,LUCKNOW,11,12,23
69,ALLAHABAD,MUMBAI,49,49,98
70,ALLAHABAD,PUNE,22,22,44
71,ALLAHABAD,RAIPUR,19,19,38
72,AMRITSAR,BENGALURU,21,18,39
73,AMRITSAR,CHENNAI,1,2,3
74,AMRITSAR,DABOLIM,20,22,42
75,AMRITSAR,DELHI,267,253,520
76,AMRITSAR,GUWAHATI,5,4,9
77,AMRITSAR,HYDERABAD,2,3,5
78,AMRITSAR,JAIPUR,11,12,23
80,AMRITSAR,KOLKATA,44,44,88
81,AMRITSAR,LUCKNOW,10,12,22
82,AMRITSAR,MUMBAI,164,171,335
83,AMRITSAR,PATNA,15,16,31
84,AMRITSAR,PUNE,39,47,86
86,AMRITSAR,SRINAGAR,108,75,183
87,AURANGABAD,DELHI,77,80,157
88,AURANGABAD,HYDERABAD,20,19,39
89,AURANGABAD,MUMBAI,67,60,127
90,BAGDOGRA,BENGALURU,151,146,297
91,BAGDOGRA,CHENNAI,96,91,187
92,BAGDOGRA,DELHI,399,447,846
93,BAGDOGRA,DIBRUGARH,18,12,30
95,BAGDOGRA,HYDERABAD,52,53,105
96,BAGDOGRA,KOLKATA,312,306,618
97,BAGDOGRA,MUMBAI,148,150,298
98,BAREILLY,BENGALURU,28,24,52
