S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,1,1,2
2,AGARTALA,AIZAWL,1,1,2
3,AGARTALA,BENGALURU,1,1,2
4,AGARTALA,DELHI,1,1,2
5,AGARTALA,DIBRUGARH,1,1,2
6,AGARTALA,GUWAHATI,1,1,2
7,AGARTALA,IMPHAL,1,1,2
8,AGARTALA,KOLKATA,1,1,2
11,AGARTALA,SHILLONG,1,1,2
12,AGATTI ISLAND,BENGALURU,1,1,2
13,AGATTI ISLAND,KOCHI,1,1,2
14,AGATTI ISLAND,MYSORE,1,1,2
15,AGRA,BENGALURU,1,1,2
16,AGRA,BHOPAL,1,1,2
17,AGRA,LUCKNOW,1,1,2
18,AGRA,MUMBAI,1,1,2
19,AHMEDABAD,AJMER,1,1,2
20,AHMEDABAD,BAGDOGRA,1,1,2
21,AHMEDABAD,BELGAUM,1,1,2
22,AHMEDABAD,BENGALURU,1,1,2
23,AHMEDABAD,BHOPAL,1,1,2
25,AHMEDABAD,CHANDIGARH,1,1,2
26,AHMEDABAD,CHENNAI,1,1,2
27,AHMEDABAD,COIMBATORE,1,1,2
28,AHMEDABAD,DABOLIM,1,1,2
29,AHMEDABAD,DEHRA DUN,1,1,2
30,AHMEDABAD,DELHI,1,1,2
32,AHMEDABAD,GWALIOR,1,1,2
33,AHMEDABAD,HYDERABAD,1,1,2
34,AHMEDABAD,INDORE,1,1,2
35,AHMEDABAD,JAIPUR,1,1,2
36,AHMEDABAD,JAISALMER,1,1,2
37,AHMEDABAD,JALGAON,1,1,2
38,AHMEDABAD,JODHPUR,1,1,2
39,AHMEDABAD,KANDLA,1,1,2
40,AHMEDABAD,KOCHI,1,1,2
41,AHMEDABAD,KOLKATA,1,1,2
42,AHMEDABAD,LUCKNOW,1,1,2
43,AHMEDABAD,MUMBAI,1,1,2
44,AHMEDABAD,NAGPUR,1,1,2
45,AHMEDABAD,NASIK,1,1,2
46,AHMEDABAD,PATNA,1,1,2
47,AHMEDABAD,PORBANDAR,1,1,2
48,AHMEDABAD,PUNE,1,1,2
49,AHMEDABAD,RAIPUR,1,1,2
51,AHMEDABAD,RANCHI,1,1,2
52,AHMEDABAD,UDAIPUR,1,1,2
53,AHMEDABAD,VARANASI,1,1,2
55,AIZAWL,DELHI,1,1,2
56,AIZAWL,GUWAHATI,1,1,2
57,AIZAWL,IMPHAL,1,1,2
58,AIZAWL,KOLKATA,1,1,2
59,AIZAWL,MUMBAI,1,1,2
60,AIZAWL,SHILLONG,1,1,2
61,AJMER,DELHI,1,1,2
62,AJMER,HYDERABAD,1,1,2
63,AJMER,INDORE,1,1,2
65,AJMER,MUMBAI,1,1,2
66,AJMER,SURAT,1,1,2
67,ALLAHABAD,BENGALURU,1,1,2
68,ALLAHABAD,BHOPAL,1,1,2
69,ALLAHABAD,BHUBANESWAR,1,1,2
70,ALLAHABAD,BILASPUR,1,1,2
71,ALLAHABAD,DEHRA DUN,1,1,2
72,ALLAHABAD,DELHI,1,1,2
73,ALLAHABAD,GORAKHPUR,1,1,2
74,ALLAHABAD,INDORE,1,1,2
75,ALLAHABAD,MUMBAI,1,1,2
76,ALLAHABAD,PUNE,1,1,2
77,ALLAHABAD,RAIPUR,1,1,2
78,AMRITSAR,BENGALURU,1,1,2
79,AMRITSAR,CHANDIGARH,1,1,2
80,AMRITSAR,DABOLIM,1,1,2
81,AMRITSAR,DELHI,1,1,2
82,AMRITSAR,GUWAHATI,1,1,2
83,AMRITSAR,HYDERABAD,1,1,2
84,AMRITSAR,JAIPUR,1,1,2
86,AMRITSAR,JAMMU,1,1,2
87,AMRITSAR,KOLKATA,1,1,2
88,AMRITSAR,MUMBAI,1,1,2
89,AMRITSAR,NANDED,1,1,2
90,AMRITSAR,PATNA,1,1,2
91,AMRITSAR,PUNE,1,1,2
92,AMRITSAR,SRINAGAR,1,1,2
93,AURANGABAD,DELHI,1,1,2
94,AURANGABAD,HYDERABAD,1,1,2
95,AURANGABAD,MUMBAI,1,1,2
96,BAGDOGRA,BENGALURU,1,1,2
98,BAGDOGRA,CHENNAI,1,1,2
99,BAGDOGRA,DELHI,1,1,2
100,BAGDOGRA,DIBRUGARH,1,1,2
102,BAGDOGRA,HYDERABAD,1,1,2
103,BAGDOGRA,JAIPUR,1,1,2
104,BAGDOGRA,KOLKATA,1,1,2
105,BAGDOGRA,MUMBAI,1,1,2
109,BAREILLY,BENGALURU,1,1,2
110,BAREILLY,DELHI,1,1,2
111,BAREILLY,MUMBAI,1,1,2
112,BELGAUM,BENGALURU,1,1,2
113,BELGAUM,DELHI,1,1,2
114,BELGAUM,HYDERABAD,1,1,2
115,BELGAUM,INDORE,1,1,2
116,BELGAUM,JODHPUR,1,1,2
